Timestamp,Longitude,Latitude,Service
1251698270000,13.3961,52.5294,GPRS
1251698969000,13.3836,52.53,GPRS
1251699327000,13.3747,52.5303,GPRS
1251699635000,13.3836,52.53,SMS
1251700798000,13.3747,52.5303,GPRS
1251702598000,13.3747,52.5303,GPRS
1251702770000,13.3747,52.5303,Telefonie
1251704398000,13.3747,52.5303,GPRS
1251706198000,13.3747,52.5303,GPRS
1251707301000,13.3747,52.5303,SMS
1251707998000,13.3747,52.5303,GPRS
1251708773000,13.3747,52.5303,SMS
1251708938000,13.3747,52.5303,GPRS
1251709023000,13.3747,52.5303,SMS
1251709085000,13.3747,52.5303,SMS
1251709268000,13.3747,52.5303,SMS
1251709996000,13.3747,52.5303,SMS
1251710079000,13.3747,52.5303,SMS
1251710457000,13.3747,52.5303,SMS
1251710738000,13.3747,52.5303,GPRS
1251710911000,13.3747,52.5303,SMS
1251711088000,13.3747,52.5303,SMS
1251712538000,13.3747,52.5303,GPRS
1251714338000,13.3747,52.5303,GPRS
1251714659000,13.3747,52.5303,Telefonie. CFNRy
1251714760000,13.3747,52.5303,SMS
1251716138000,13.3747,52.5303,GPRS
1251716533000,13.3758,52.4897,GPRS
1251716640000,13.3547,52.4808,Telefonie
1251716705000,13.3472,52.4722,SMS
1251716785000,13.3608,52.4494,SMS
1251716849000,13.3608,52.4494,SMS
1251717250000,13.2639,52.2819,GPRS
1251717513000,13.2406,52.1781,SMS
1251717673000,13.1764,52.0939,GPRS
1251717762000,13.1617,52.0917,SMS
1251717849000,13.0847,52.0081,Telefonie
1251718296000,12.7756,51.92,SMS
1251718368000,12.7756,51.92,SMS
1251718492000,12.7408,51.8917,SMS
1251718634000,12.6744,51.8683,GPRS
1251718715000,12.6456,51.8431,GPRS
1251719472000,12.3075,51.5978,GPRS
1251719547000,12.2714,51.5719,GPRS
1251719629000,12.3317,51.5369,GPRS
1251719728000,12.3542,51.5178,GPRS
1251719968000,12.3892,51.4089,GPRS
1251721438000,12.3592,51.3633,GPRS
1251721615000,12.3014,51.3519,GPRS
1251721678000,12.2933,51.3464,GPRS
1251721739000,12.2644,51.3233,GPRS
1251721904000,12.2275,51.3097,GPRS
1251722100000,12.1244,51.3056,Telefonie. CLIP
1251722607000,12.025,51.2647,Telefonie
1251723145000,11.8214,51.16,GPRS
1251724253000,11.6639,51.0131,Telefonie. CLIP
1251724958000,11.5958,50.8864,Telefonie. CFB
1251725112000,11.6086,50.8811,GPRS
1251725179000,11.6094,50.8447,Telefonie
1251725389000,11.6036,50.8053,Telefonie
1251725694000,11.5214,50.7756,Telefonie. CLIP
1251725813000,11.5214,50.7756,SMS
1251726213000,11.3361,50.7047,GPRS
1251726296000,11.3183,50.7142,Telefonie
1251726675000,11.3772,50.6556,GPRS
1251726794000,11.3792,50.6322,GPRS
1251727637000,11.3447,50.5586,SMS
1251727923000,11.3897,50.5117,GPRS
1251728214000,11.3703,50.4878,SMS
1251729372000,11.3219,50.2414,GPRS
1251729471000,11.3325,50.2139,GPRS
1251729673000,11.2117,50.1706,GPRS
